SiteProvince,DistrictName,EpiWeek,SampleCollectionDate,LabNumber,Sequence_ID,SiteName
Gauteng,Tshwane MM,37.0,2022-09-14,ENV-COV-22-261,ENV-COV-22-261,Daspoort Wastewater Treatment Works
Gauteng,Ekurhuleni MM,38.0,2022-09-20,ENV-COV-22-262,ENV-COV-22-262,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,38.0,2022-09-19,ENV-COV-22-263,ENV-COV-22-263,Central Wastewater Treatment Works (KZN)
Gauteng,Johannesburg MM,38.0,2022-09-20,ENV-COV-22-264,ENV-COV-22-264,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,38.0,2022-09-20,ENV-COV-22-265,ENV-COV-22-265,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Tshwane MM,38.0,2022-09-20,ENV-COV-22-266,ENV-COV-22-266,Daspoort Wastewater Treatment Works
Eastern Cape,Buffalo City MM,38.0,2022-09-20,ENV-COV-22-268,ENV-COV-22-268,Mdantsane Wastewater Treatment Works
Gauteng,Tshwane MM,38.0,2022-09-22,ENV-COV-22-269,ENV-COV-22-269,Rooiwal Wastewater Treatment Works
Free State,Mangaung MM,4.0,2022-01-25,ENV-COV-22-27,ENV-COV-22-27,Bloemspruit Wastewater Treatment Works
Gauteng,Ekurhuleni MM,39.0,2022-09-27,ENV-COV-22-270,ENV-COV-22-270,Hartebeesfontein Waterworks
Free State,Mangaung MM,39.0,2022-09-27,ENV-COV-22-271,ENV-COV-22-271,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,39.0,2022-09-27,ENV-COV-22-272,ENV-COV-22-272,Sterkwater Wastewater Treatment Works
Gauteng,Tshwane MM,39.0,2022-09-28,ENV-COV-22-273,ENV-COV-22-273,Daspoort Wastewater Treatment Works
Gauteng,Johannesburg MM,40.0,2022-10-04,ENV-COV-22-277,ENV-COV-22-277,Goudkoppies Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,40.0,2022-10-03,ENV-COV-22-278,ENV-COV-22-278,Central Wastewater Treatment Works (KZN)
Eastern Cape,Buffalo City MM,40.0,2022-10-04,ENV-COV-22-279,ENV-COV-22-279,East Bank Wastewater Treatment Works
Free State,Mangaung MM,4.0,2022-01-25,ENV-COV-22-28,ENV-COV-22-28,Sterkwater Wastewater Treatment Works
Eastern Cape,Buffalo City MM,40.0,2022-10-04,ENV-COV-22-280,ENV-COV-22-280,Mdantsane Wastewater Treatment Works
Free State,Mangaung MM,40.0,2022-10-04,ENV-COV-22-282,ENV-COV-22-282,Sterkwater Wastewater Treatment Works
Gauteng,Tshwane MM,40.0,2022-10-05,ENV-COV-22-283,ENV-COV-22-283,Rooiwal Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,41.0,2022-10-10,ENV-COV-22-284,ENV-COV-22-284,Central Wastewater Treatment Works (KZN)
Gauteng,Ekurhuleni MM,41.0,2022-10-11,ENV-COV-22-285,ENV-COV-22-285,ERWAT Vlakplaat Wastewater Treatment Works
Free State,Mangaung MM,41.0,2022-10-11,ENV-COV-22-287,ENV-COV-22-287,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,41.0,2022-10-11,ENV-COV-22-288,ENV-COV-22-288,Sterkwater Wastewater Treatment Works
Gauteng,Tshwane MM,41.0,2022-10-12,ENV-COV-22-289,ENV-COV-22-289,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,41.0,2022-10-12,ENV-COV-22-290,ENV-COV-22-290,Rooiwal Wastewater Treatment Works
Gauteng,Ekurhuleni MM,42.0,2022-10-18,ENV-COV-22-291,ENV-COV-22-291,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,42.0,2022-10-17,ENV-COV-22-292,ENV-COV-22-292,Central Wastewater Treatment Works (KZN)
Gauteng,Ekurhuleni MM,42.0,2022-10-18,ENV-COV-22-293,ENV-COV-22-293,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Johannesburg MM,42.0,2022-10-18,ENV-COV-22-294,ENV-COV-22-294,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,42.0,2022-10-19,ENV-COV-22-295,ENV-COV-22-295,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,42.0,2022-10-19,ENV-COV-22-296,ENV-COV-22-296,Daspoort Wastewater Treatment Works
Eastern Cape,Buffalo City MM,42.0,2022-10-18,ENV-COV-22-297,ENV-COV-22-297,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,43.0,2022-10-25,ENV-COV-22-299,ENV-COV-22-299,Hartebeesfontein Waterworks
Gauteng,Tshwane MM,1.0,2022-01-04,ENV-COV-22-3,ENV-COV-22-3,Rooiwal Wastewater Treatment Works
Eastern Cape,Buffalo City MM,4.0,2022-01-25,ENV-COV-22-30,ENV-COV-22-30,Mdantsane Wastewater Treatment Works
Free State,Mangaung MM,43.0,2022-10-25,ENV-COV-22-300,ENV-COV-22-300,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,43.0,2022-10-25,ENV-COV-22-301,ENV-COV-22-301,Bloemspruit Wastewater Treatment Works
Eastern Cape,Buffalo City MM,43.0,2022-10-25,ENV-COV-22-302,ENV-COV-22-302,East Bank Wastewater Treatment Works
Eastern Cape,Buffalo City MM,43.0,2022-10-25,ENV-COV-22-303,ENV-COV-22-303,Mdantsane Wastewater Treatment Works
Gauteng,Tshwane MM,43.0,2022-10-26,ENV-COV-22-304,ENV-COV-22-304,Daspoort Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,44.0,2022-10-31,ENV-COV-22-305,ENV-COV-22-305,Central Wastewater Treatment Works (KZN)
Gauteng,Johannesburg MM,44.0,2022-11-01,ENV-COV-22-306,ENV-COV-22-306,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,44.0,2022-11-02,ENV-COV-22-307,ENV-COV-22-307,Rooiwal Wastewater Treatment Works
Gauteng,Ekurhuleni MM,44.0,2022-11-01,ENV-COV-22-309,ENV-COV-22-309,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Ekurhuleni MM,5.0,2022-01-31,ENV-COV-22-31,ENV-COV-22-31,ERWAT Vlakplaat Wastewater Treatment Works
Free State,Mangaung MM,44.0,2022-10-25,ENV-COV-22-310,ENV-COV-22-310,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,44.0,2022-11-01,ENV-COV-22-311,ENV-COV-22-311,Bloemspruit Wastewater Treatment Works
Eastern Cape,Buffalo City MM,44.0,2022-11-01,ENV-COV-22-312,ENV-COV-22-312,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,45.0,2022-11-08,ENV-COV-22-313,ENV-COV-22-313,Hartebeesfontein Waterworks
Gauteng,Ekurhuleni MM,45.0,2022-11-08,ENV-COV-22-314,ENV-COV-22-314,ERWAT Vlakplaat Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,45.0,2022-11-07,ENV-COV-22-315,ENV-COV-22-315,Central Wastewater Treatment Works (KZN)
Free State,Mangaung MM,45.0,2022-11-08,ENV-COV-22-316,ENV-COV-22-316,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,45.0,2022-11-08,ENV-COV-22-317,ENV-COV-22-317,Sterkwater Wastewater Treatment Works
Gauteng,Tshwane MM,45.0,2022-11-09,ENV-COV-22-318,ENV-COV-22-318,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,45.0,2022-11-09,ENV-COV-22-319,ENV-COV-22-319,Rooiwal Wastewater Treatment Works
Gauteng,Johannesburg MM,5.0,2022-01-31,ENV-COV-22-32,ENV-COV-22-32,Goudkoppies Wastewater Treatment Works
Western Cape,Cape Town MM,46.0,2022-11-14,ENV-COV-22-320,ENV-COV-22-320,Borcherds Quarry Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,46.0,2022-11-14,ENV-COV-22-321,ENV-COV-22-321,Central Wastewater Treatment Works (KZN)
Western Cape,Cape Town MM,46.0,2022-11-14,ENV-COV-22-322,ENV-COV-22-322,Zandvleit Wastewater Treatment Works
Gauteng,Johannesburg MM,46.0,2022-11-15,ENV-COV-22-323,ENV-COV-22-323,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,46.0,2022-11-15,ENV-COV-22-324,ENV-COV-22-324,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Ekurhuleni MM,46.0,2022-11-15,ENV-COV-22-325,ENV-COV-22-325,Hartebeesfontein Waterworks
Eastern Cape,Buffalo City MM,46.0,2022-11-15,ENV-COV-22-327,ENV-COV-22-327,Mdantsane Wastewater Treatment Works
Eastern Cape,Nelson Mandela Bay MM,46.0,2022-11-08,ENV-COV-22-328,ENV-COV-22-328,Kwanobuhle Wastewater Treatment Works
Gauteng,Tshwane MM,46.0,2022-11-16,ENV-COV-22-329,ENV-COV-22-329,Rooiwal Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,5.0,2022-01-31,ENV-COV-22-33,ENV-COV-22-33,Central Wastewater Treatment Works (KZN)
Gauteng,Tshwane MM,46.0,2022-11-16,ENV-COV-22-330,ENV-COV-22-330,Daspoort Wastewater Treatment Works
Gauteng,Ekurhuleni MM,47.0,2022-11-22,ENV-COV-22-331,ENV-COV-22-331,Hartebeesfontein Waterworks
Gauteng,Tshwane MM,47.0,2022-11-23,ENV-COV-22-332,ENV-COV-22-332,Daspoort Wastewater Treatment Works
Eastern Cape,Buffalo City MM,47.0,2022-11-22,ENV-COV-22-334,ENV-COV-22-334,East Bank Wastewater Treatment Works
Free State,Mangaung MM,47.0,2022-11-22,ENV-COV-22-335,ENV-COV-22-335,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,47.0,2022-11-22,ENV-COV-22-336,ENV-COV-22-336,Sterkwater Wastewater Treatment Works
Gauteng,Tshwane MM,48.0,2022-11-30,ENV-COV-22-337,ENV-COV-22-337,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,48.0,2022-11-29,ENV-COV-22-338,ENV-COV-22-338,Rooiwal Wastewater Treatment Works
Gauteng,Ekurhuleni MM,48.0,2022-11-29,ENV-COV-22-339,ENV-COV-22-339,ERWAT Vlakplaat Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,5.0,2022-02-01,ENV-COV-22-34,ENV-COV-22-34,Northern Wastewater Treatment Works (KZN)
Gauteng,Ekurhuleni MM,48.0,2022-11-29,ENV-COV-22-340,ENV-COV-22-340,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,48.0,2022-11-28,ENV-COV-22-341,ENV-COV-22-341,Central Wastewater Treatment Works (KZN)
Free State,Mangaung MM,48.0,2022-11-29,ENV-COV-22-342,ENV-COV-22-342,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,48.0,2022-11-29,ENV-COV-22-343,ENV-COV-22-343,Sterkwater Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,49.0,2022-12-05,ENV-COV-22-344,ENV-COV-22-344,Northern Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,49.0,2022-12-05,ENV-COV-22-345,ENV-COV-22-345,Central Wastewater Treatment Works (KZN)
Gauteng,Ekurhuleni MM,49.0,2022-12-06,ENV-COV-22-346,ENV-COV-22-346,ERWAT Vlakplaat Wastewater Treatment Works
Free State,Mangaung MM,49.0,2022-12-06,ENV-COV-22-347,ENV-COV-22-347,Bloemspruit Wastewater Treatment Works
Gauteng,Tshwane MM,49.0,2022-12-07,ENV-COV-22-348,ENV-COV-22-348,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,50.0,2022-12-14,ENV-COV-22-349,ENV-COV-22-349,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,5.0,2022-02-01,ENV-COV-22-35,ENV-COV-22-35,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,50.0,2022-12-14,ENV-COV-22-350,ENV-COV-22-350,Daspoort Wastewater Treatment Works
Gauteng,Johannesburg MM,50.0,2022-12-13,ENV-COV-22-351,ENV-COV-22-351,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,50.0,2022-12-13,ENV-COV-22-352,ENV-COV-22-352,ERWAT Vlakplaat Wastewater Treatment Works
Free State,Mangaung MM,50.0,2022-12-13,ENV-COV-22-353,ENV-COV-22-353,Bloemspruit Wastewater Treatment Works
Gauteng,Ekurhuleni MM,50.0,2022-12-13,ENV-COV-22-354,ENV-COV-22-354,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,51.0,2022-12-19,ENV-COV-22-355,ENV-COV-22-355,Northern Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,51.0,2022-12-19,ENV-COV-22-356,ENV-COV-22-356,Central Wastewater Treatment Works (KZN)
Gauteng,Ekurhuleni MM,51.0,2022-12-20,ENV-COV-22-357,ENV-COV-22-357,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Ekurhuleni MM,51.0,2022-12-20,ENV-COV-22-358,ENV-COV-22-358,Hartebeesfontein Waterworks
Gauteng,Tshwane MM,51.0,2022-12-21,ENV-COV-22-359,ENV-COV-22-359,Daspoort Wastewater Treatment Works
Free State,Mangaung MM,5.0,2022-02-01,ENV-COV-22-36,ENV-COV-22-36,Sterkwater Wastewater Treatment Works
Gauteng,Tshwane MM,51.0,2022-12-21,ENV-COV-22-360,ENV-COV-22-360,Rooiwal Wastewater Treatment Works
Free State,Mangaung MM,5.0,2022-02-01,ENV-COV-22-37,ENV-COV-22-37,Bloemspruit Wastewater Treatment Works
Eastern Cape,Buffalo City MM,5.0,2022-02-01,ENV-COV-22-39,ENV-COV-22-39,Mdantsane Wastewater Treatment Works
Free State,Mangaung MM,1.0,2022-01-04,ENV-COV-22-4,ENV-COV-22-4,Sterkwater Wastewater Treatment Works
Gauteng,Ekurhuleni MM,6.0,2022-02-07,ENV-COV-22-40,ENV-COV-22-40,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Johannesburg MM,6.0,2022-02-07,ENV-COV-22-41,ENV-COV-22-41,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,6.0,2022-02-08,ENV-COV-22-42,ENV-COV-22-42,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,6.0,2022-02-08,ENV-COV-22-43,ENV-COV-22-43,Daspoort Wastewater Treatment Works
Gauteng,Ekurhuleni MM,6.0,2022-02-08,ENV-COV-22-44,ENV-COV-22-44,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,6.0,2022-02-08,ENV-COV-22-45,ENV-COV-22-45,Northern Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,6.0,2022-02-07,ENV-COV-22-46,ENV-COV-22-46,Central Wastewater Treatment Works (KZN)
Free State,Mangaung MM,6.0,2022-02-08,ENV-COV-22-47,ENV-COV-22-47,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,6.0,2022-02-08,ENV-COV-22-48,ENV-COV-22-48,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,1.0,2022-01-04,ENV-COV-22-5,ENV-COV-22-5,Bloemspruit Wastewater Treatment Works
Gauteng,Johannesburg MM,7.0,2022-02-14,ENV-COV-22-51,ENV-COV-22-51,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,7.0,2022-02-15,ENV-COV-22-52,ENV-COV-22-52,Rooiwal Wastewater Treatment Works
Gauteng,Tshwane MM,7.0,2022-02-15,ENV-COV-22-53,ENV-COV-22-53,Daspoort Wastewater Treatment Works
Gauteng,Ekurhuleni MM,7.0,2022-02-15,ENV-COV-22-54,ENV-COV-22-54,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,7.0,2022-02-14,ENV-COV-22-55,ENV-COV-22-55,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,7.0,2022-02-14,ENV-COV-22-56,ENV-COV-22-56,Northern Wastewater Treatment Works (KZN)
Eastern Cape,Buffalo City MM,7.0,2022-02-15,ENV-COV-22-57,ENV-COV-22-57,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,8.0,2022-02-22,ENV-COV-22-59,ENV-COV-22-59,Hartebeesfontein Waterworks
Gauteng,Johannesburg MM,2.0,2022-01-09,ENV-COV-22-6,ENV-COV-22-6,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,8.0,2022-02-22,ENV-COV-22-60,ENV-COV-22-60,Daspoort Wastewater Treatment Works
Eastern Cape,Buffalo City MM,8.0,2022-02-22,ENV-COV-22-61,ENV-COV-22-61,Mdantsane Wastewater Treatment Works
Eastern Cape,Buffalo City MM,8.0,2022-02-22,ENV-COV-22-62,ENV-COV-22-62,East Bank Wastewater Treatment Works
Free State,Mangaung MM,8.0,2022-02-22,ENV-COV-22-63,ENV-COV-22-63,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,8.0,2022-02-22,ENV-COV-22-64,ENV-COV-22-64,Bloemspruit Wastewater Treatment Works
Gauteng,Johannesburg MM,9.0,2022-02-28,ENV-COV-22-65,ENV-COV-22-65,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,9.0,2022-02-28,ENV-COV-22-66,ENV-COV-22-66,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Tshwane MM,9.0,2022-03-01,ENV-COV-22-67,ENV-COV-22-67,Rooiwal Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,9.0,2022-02-28,ENV-COV-22-68,ENV-COV-22-68,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,9.0,2022-02-28,ENV-COV-22-69,ENV-COV-22-69,Northern Wastewater Treatment Works (KZN)
Gauteng,Ekurhuleni MM,2.0,2022-01-10,ENV-COV-22-7,ENV-COV-22-7,ERWAT Vlakplaat Wastewater Treatment Works
Free State,Mangaung MM,9.0,2022-03-01,ENV-COV-22-70,ENV-COV-22-70,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,9.0,2022-03-01,ENV-COV-22-71,ENV-COV-22-71,Bloemspruit Wastewater Treatment Works
Eastern Cape,Buffalo City MM,9.0,2022-03-01,ENV-COV-22-72,ENV-COV-22-72,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,10.0,2022-03-07,ENV-COV-22-74,ENV-COV-22-74,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Johannesburg MM,10.0,2022-03-07,ENV-COV-22-75,ENV-COV-22-75,Goudkoppies Wastewater Treatment Works
Gauteng,Tshwane MM,10.0,2022-03-08,ENV-COV-22-76,ENV-COV-22-76,Rooiwal Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,10.0,2022-03-07,ENV-COV-22-78,ENV-COV-22-78,Northern Wastewater Treatment Works (KZN)
Gauteng,Ekurhuleni MM,10.0,2022-03-08,ENV-COV-22-79,ENV-COV-22-79,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,2.0,2022-01-10,ENV-COV-22-8,ENV-COV-22-8,Central Wastewater Treatment Works (KZN)
Gauteng,Tshwane MM,10.0,2022-03-08,ENV-COV-22-80,ENV-COV-22-80,Daspoort Wastewater Treatment Works
Free State,Mangaung MM,10.0,2022-03-08,ENV-COV-22-81,ENV-COV-22-81,Bloemspruit Wastewater Treatment Works
Free State,Mangaung MM,10.0,2022-03-08,ENV-COV-22-82,ENV-COV-22-82,Sterkwater Wastewater Treatment Works
Northern Cape,Namakwa DM,10.0,2022-03-09,ENV-COV-22-83,ENV-COV-22-83,Calvinia  Wastewater Treatment Works
Gauteng,Johannesburg MM,11.0,2022-03-14,ENV-COV-22-84,ENV-COV-22-84,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,11.0,2022-03-14,ENV-COV-22-85,ENV-COV-22-85,ERWAT Vlakplaat Wastewater Treatment Works
Gauteng,Ekurhuleni MM,11.0,2022-03-15,ENV-COV-22-86,ENV-COV-22-86,Hartebeesfontein Waterworks
KwaZulu-Natal,Ethekwini MM,11.0,2022-03-14,ENV-COV-22-87,ENV-COV-22-87,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,11.0,2022-03-14,ENV-COV-22-88,ENV-COV-22-88,Northern Wastewater Treatment Works (KZN)
Gauteng,Tshwane MM,11.0,2022-03-15,ENV-COV-22-89,ENV-COV-22-89,Rooiwal Wastewater Treatment Works
KwaZulu-Natal,Ethekwini MM,2.0,2022-01-10,ENV-COV-22-9,ENV-COV-22-9,Northern Wastewater Treatment Works (KZN)
Eastern Cape,Buffalo City MM,11.0,2022-03-15,ENV-COV-22-91,ENV-COV-22-91,Mdantsane Wastewater Treatment Works
Eastern Cape,Buffalo City MM,11.0,2022-03-15,ENV-COV-22-92,ENV-COV-22-92,East Bank Wastewater Treatment Works
Gauteng,Tshwane MM,12.0,2022-03-22,ENV-COV-22-93,ENV-COV-22-93,Daspoort Wastewater Treatment Works
Gauteng,Ekurhuleni MM,12.0,2022-03-22,ENV-COV-22-94,ENV-COV-22-94,Hartebeesfontein Waterworks
Free State,Mangaung MM,12.0,2022-03-22,ENV-COV-22-95,ENV-COV-22-95,Sterkwater Wastewater Treatment Works
Free State,Mangaung MM,12.0,2022-03-22,ENV-COV-22-96,ENV-COV-22-96,Bloemspruit Wastewater Treatment Works
Eastern Cape,Buffalo City MM,12.0,2022-03-22,ENV-COV-22-98,ENV-COV-22-98,East Bank Wastewater Treatment Works
Gauteng,Johannesburg MM,13.0,2022-03-28,ENV-COV-22-99,ENV-COV-22-99,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,34.0,2023-08-21,ENV-COV-23-0696,ENV-COV-23-0696,Midstream
Gauteng,Ekurhuleni MM,34.0,2023-08-21,ENV-COV-23-0697,ENV-COV-23-0697,Tembisa Mall
Gauteng,Ekurhuleni MM,34.0,2023-08-21,ENV-COV-23-0699,ENV-COV-23-0699,Namane Drive
Gauteng,Ekurhuleni MM,34.0,2023-08-21,ENV-COV-23-0700,ENV-COV-23-0700,Sasol Garage
Gauteng,Tshwane MM,34.0,2023-08-22,ENV-COV-23-0701,ENV-COV-23-0701,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,34.0,2023-08-22,ENV-COV-23-0702,ENV-COV-23-0702,SAPS Training College
Gauteng,Tshwane MM,34.0,2023-08-22,ENV-COV-23-0704,ENV-COV-23-0704,Atteridgeville Train Station
Gauteng,Tshwane MM,34.0,2023-08-22,ENV-COV-23-0706,ENV-COV-23-0706,Laudium
Gauteng,Tshwane MM,34.0,2023-08-22,ENV-COV-23-0707,ENV-COV-23-0707,Groenkloof
Gauteng,Johannesburg MM,34.0,2023-08-23,ENV-COV-23-0709,ENV-COV-23-0709,Motsoaledi
Gauteng,Johannesburg MM,34.0,2023-08-23,ENV-COV-23-0710,ENV-COV-23-0710,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,34.0,2023-08-23,ENV-COV-23-0712,ENV-COV-23-0712,Bushkoppies Inlet
Gauteng,Johannesburg MM,34.0,2023-08-23,ENV-COV-23-0713,ENV-COV-23-0713,Bushkoppies Final
Gauteng,Johannesburg MM,34.0,2023-08-23,ENV-COV-23-0714,ENV-COV-23-0714,Goudkoppies Wastewater Treatment Works
Gauteng,Ekurhuleni MM,34.0,2023-08-22,ENV-COV-23-0715,ENV-COV-23-0715,Hartebeesfontein Waterworks
Gauteng,Ekurhuleni MM,34.0,2023-08-24,ENV-COV-23-0718,ENV-COV-23-0718,Midstream
Gauteng,Ekurhuleni MM,34.0,2023-08-24,ENV-COV-23-0721,ENV-COV-23-0721,Namane Drive
Gauteng,Tshwane MM,34.0,2023-08-25,ENV-COV-23-0723,ENV-COV-23-0723,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,34.0,2023-08-25,ENV-COV-23-0724,ENV-COV-23-0724,SAPS Training College
Gauteng,Tshwane MM,34.0,2023-08-25,ENV-COV-23-0725,ENV-COV-23-0725,Kalafong Hospital
Gauteng,Tshwane MM,34.0,2023-08-25,ENV-COV-23-0726,ENV-COV-23-0726,Atteridgeville Train Station
Gauteng,Tshwane MM,34.0,2023-08-25,ENV-COV-23-0727,ENV-COV-23-0727,Vergenoeg
Gauteng,Tshwane MM,34.0,2023-08-25,ENV-COV-23-0728,ENV-COV-23-0728,Groenkloof
Eastern Cape,Buffalo City MM,34.0,2023-08-24,ENV-COV-23-0729,ENV-COV-23-0729,Mdantsane Wastewater Treatment Works
Gauteng,Ekurhuleni MM,35.0,2023-08-28,ENV-COV-23-0730,ENV-COV-23-0730,Midstream
Gauteng,Ekurhuleni MM,35.0,2023-08-28,ENV-COV-23-0731,ENV-COV-23-0731,Tembisa Mall
Gauteng,Ekurhuleni MM,35.0,2023-08-28,ENV-COV-23-0732,ENV-COV-23-0732,Moloreng
Gauteng,Ekurhuleni MM,35.0,2023-08-28,ENV-COV-23-0733,ENV-COV-23-0733,Sasol Garage
Gauteng,Tshwane MM,35.0,2023-08-29,ENV-COV-23-0736,ENV-COV-23-0736,Daspoort Wastewater Treatment Works
Gauteng,Tshwane MM,35.0,2023-08-29,ENV-COV-23-0737,ENV-COV-23-0737,SAPS Training College
Gauteng,Tshwane MM,35.0,2023-08-29,ENV-COV-23-0740,ENV-COV-23-0740,Vergenoeg
Gauteng,Tshwane MM,35.0,2023-08-29,ENV-COV-23-0741,ENV-COV-23-0741,Laudium
Gauteng,Tshwane MM,35.0,2023-08-29,ENV-COV-23-0742,ENV-COV-23-0742,Groenkloof
Gauteng,Johannesburg MM,35.0,2023-08-30,ENV-COV-23-0743,ENV-COV-23-0743,Chris Hani Baragwanath Hospital
Gauteng,Johannesburg MM,35.0,2023-08-30,ENV-COV-23-0744,ENV-COV-23-0744,Motsoaledi
Gauteng,Johannesburg MM,35.0,2023-08-30,ENV-COV-23-0745,ENV-COV-23-0745,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,35.0,2023-08-30,ENV-COV-23-0746,ENV-COV-23-0746,Klipsruit Yard (Before tunnel)
Gauteng,Johannesburg MM,35.0,2023-08-30,ENV-COV-23-0747,ENV-COV-23-0747,Bushkoppies Inlet
Gauteng,Johannesburg MM,35.0,2023-08-30,ENV-COV-23-0748,ENV-COV-23-0748,Bushkoppies Final
KwaZulu-Natal,Ethekwini MM,35.0,2023-08-28,ENV-COV-23-0749,ENV-COV-23-0749,Central Wastewater Treatment Works (KZN)
KwaZulu-Natal,Ethekwini MM,35.0,2023-08-28,ENV-COV-23-0750,ENV-COV-23-0750,Northern Wastewater Treatment Works (KZN)
Free State,Mangaung MM,35.0,2023-08-29,ENV-COV-23-0751,ENV-COV-23-0751,Bloemspruit Wastewater Treatment Works
Gauteng,Ekurhuleni MM,35.0,2023-08-31,ENV-COV-23-0754,ENV-COV-23-0754,Midstream
Gauteng,Ekurhuleni MM,35.0,2023-08-31,ENV-COV-23-0755,ENV-COV-23-0755,Tembisa Mall
Gauteng,Ekurhuleni MM,35.0,2023-08-31,ENV-COV-23-0756,ENV-COV-23-0756,Moloreng
Gauteng,Tshwane MM,35.0,2023-09-01,ENV-COV-23-0758,ENV-COV-23-0758,SAPS Training College
Gauteng,Tshwane MM,35.0,2023-09-01,ENV-COV-23-0759,ENV-COV-23-0759,Atteridgeville Train Station
Gauteng,Tshwane MM,35.0,2023-09-01,ENV-COV-23-0760,ENV-COV-23-0760,Vergenoeg
Gauteng,Tshwane MM,35.0,2023-09-01,ENV-COV-23-0761,ENV-COV-23-0761,Laudium
Gauteng,Tshwane MM,35.0,2023-09-01,ENV-COV-23-0762,ENV-COV-23-0762,Groenkloof
Eastern Cape,Buffalo City MM,35.0,2023-08-29,ENV-COV-23-0764,ENV-COV-23-0764,Mdantsane Wastewater Treatment Works
